[21:54:03] [INFO] received Windows console close event; shutting log-core down
[22:01:51] [INFO] received Windows console close event; shutting log-core down
[22:17:54] [INFO] received Windows console close event; shutting log-core down
[22:18:32] [INFO] received Windows console close event; shutting log-core down
[22:19:38] [INFO] received Windows console close event; shutting log-core down
[22:27:55] [INFO] received Windows console close event; shutting log-core down
[22:30:44] [INFO] received Windows console close event; shutting log-core down
[22:31:10] [INFO] received Windows console close event; shutting log-core down
[23:07:33] [INFO] received Windows console close event; shutting log-core down
[01:44:42] [INFO] received Windows console close event; shutting log-core down
[01:46:51] [INFO] received Windows console close event; shutting log-core down
[01:49:23] [INFO] received Windows console close event; shutting log-core down
[02:12:21] [INFO] received Windows console close event; shutting log-core down
[02:12:22] [INFO] received Windows console close event; shutting log-core down
[02:14:03] [INFO] received Windows console close event; shutting log-core down
[02:32:11] [INFO] received Windows console close event; shutting log-core down
[02:34:05] [INFO] received Windows console close event; shutting log-core down
[04:19:00] [INFO] received Windows console close event; shutting log-core down
[04:21:56] [INFO] received Windows console close event; shutting log-core down
[04:29:09] [INFO] received Windows console close event; shutting log-core down
[04:36:13] [INFO] received Windows console close event; shutting log-core down
[04:38:59] [INFO] received Windows console close event; shutting log-core down
[04:43:11] [INFO] received Windows console close event; shutting log-core down
[04:44:48] [INFO] received Windows console close event; shutting log-core down
[04:45:49] [INFO] received Windows console close event; shutting log-core down
[04:55:05] [INFO] received Windows console close event; shutting log-core down
[04:57:15] [INFO] received Windows console close event; shutting log-core down
[04:59:26] [INFO] received Windows console close event; shutting log-core down
[05:02:30] [INFO] received Windows console close event; shutting log-core down
[05:31:05] [INFO] received Windows console close event; shutting log-core down
[19:17:24] [INFO] received Windows console close event; shutting log-core down
[19:44:37] [INFO] received Windows console close event; shutting log-core down
[20:51:03] [INFO] received Windows console close event; shutting log-core down
[20:52:42] [INFO] received Windows console close event; shutting log-core down
[20:57:11] [INFO] received Windows console close event; shutting log-core down
[20:58:38] [INFO] received Windows console close event; shutting log-core down
[20:59:39] [INFO] received Windows console close event; shutting log-core down
[21:01:36] [INFO] received Windows console close event; shutting log-core down
[21:03:52] [INFO] received Windows console close event; shutting log-core down
[21:39:01] [INFO] received Windows console close event; shutting log-core down
[21:45:02] [INFO] received Windows console close event; shutting log-core down
[21:50:55] [INFO] received Windows console close event; shutting log-core down
[21:53:06] [INFO] received Windows console close event; shutting log-core down
[22:07:27] [INFO] received Windows console close event; shutting log-core down
[22:10:04] [INFO] received Windows console close event; shutting log-core down
[22:25:04] [INFO] received Windows console close event; shutting log-core down
[22:29:36] [INFO] received Windows console close event; shutting log-core down
[23:36:09] [INFO] received Windows console close event; shutting log-core down
[01:54:32] [INFO] received Windows console close event; shutting log-core down
[02:36:24] [INFO] received Windows console close event; shutting log-core down
[02:41:55] [INFO] received Windows console close event; shutting log-core down
[02:45:53] [INFO] received Windows console close event; shutting log-core down
[03:15:08] [INFO] received Windows console close event; shutting log-core down
